Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
896,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2025-09-12T19:21:51Z
4,System,IPv4,TCP,LISTEN,192.168.202.140,139,0.0.0.0,0,2025-09-12T19:21:52Z
1032,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2025-09-12T19:23:05Z
672,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2025-09-12T19:21:50Z
512,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2025-09-12T19:21:51Z
620,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2025-09-12T19:21:52Z
736,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2025-09-12T19:21:52Z
1940,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2025-09-12T19:21:55Z
648,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49676,0.0.0.0,0,2025-09-12T19:21:57Z
736,svchost.exe,IPv4,TCP,ESTAB,192.168.202.140,49692,4.213.25.240,443,2025-09-12T19:23:05Z
180,WWAHost.exe,IPv4,TCP,ESTAB,192.168.202.140,49743,23.10.239.251,80,2025-09-12T19:25:44Z
180,WWAHost.exe,IPv4,TCP,CLOSE_WAIT,192.168.202.140,49747,103.59.199.202,443,2025-09-12T19:25:44Z
5176,SkypeApp.exe,IPv4,TCP,ESTAB,192.168.202.140,49906,23.10.239.251,80,2025-09-12T19:41:32Z
4904,SearchApp.exe,IPv4,TCP,ESTAB,192.168.202.140,50134,23.10.239.251,80,2025-09-12T20:31:32Z
4904,SearchApp.exe,IPv4,TCP,CLOSE_WAIT,192.168.202.140,50388,23.1.241.120,443,2025-09-12T21:20:49Z
4904,SearchApp.exe,IPv4,TCP,CLOSE_WAIT,192.168.202.140,50389,23.1.241.120,443,2025-09-12T21:20:49Z
4904,SearchApp.exe,IPv4,TCP,CLOSE_WAIT,192.168.202.140,50392,13.107.226.254,443,2025-09-12T21:20:53Z
2264,svchost.exe,IPv4,TCP,ESTAB,192.168.202.140,50411,104.108.246.65,80,2025-09-12T21:26:03Z
3228,Velociraptor.exe,IPv4,TCP,ESTAB,192.168.202.140,50412,192.168.202.1,8000,2025-09-12T21:26:28Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2025-09-12T19:21:57Z
896,svchost.exe,IPv6,TCP,LISTEN,::,135,::,0,2025-09-12T19:21:51Z
4,System,IPv6,TCP,LISTEN,::,445,::,0,2025-09-12T19:21:57Z
672,lsass.exe,IPv6,TCP,LISTEN,::,49664,::,0,2025-09-12T19:21:50Z
512,wininit.exe,IPv6,TCP,LISTEN,::,49665,::,0,2025-09-12T19:21:51Z
620,svchost.exe,IPv6,TCP,LISTEN,::,49666,::,0,2025-09-12T19:21:52Z
736,svchost.exe,IPv6,TCP,LISTEN,::,49667,::,0,2025-09-12T19:21:52Z
1940,spoolsv.exe,IPv6,TCP,LISTEN,::,49668,::,0,2025-09-12T19:21:55Z
648,services.exe,IPv6,TCP,LISTEN,::,49676,::,0,2025-09-12T19:21:57Z
4,System,IPv4,UDP,,192.168.202.140,137,,0,2025-09-12T19:21:52Z
4,System,IPv4,UDP,,192.168.202.140,138,,0,2025-09-12T19:21:52Z
3684,svchost.exe,IPv4,UDP,,127.0.0.1,1900,,0,2025-09-12T19:22:18Z
3684,svchost.exe,IPv4,UDP,,192.168.202.140,1900,,0,2025-09-12T19:22:18Z
1032,svchost.exe,IPv4,UDP,,0.0.0.0,5050,,0,2025-09-12T19:23:04Z
1424,svchost.exe,IPv4,UDP,,0.0.0.0,5353,,0,2025-09-12T19:21:54Z
1424,svchost.exe,IPv4,UDP,,0.0.0.0,5355,,0,2025-09-12T21:21:52Z
3684,svchost.exe,IPv4,UDP,,192.168.202.140,50228,,0,2025-09-12T19:22:18Z
3684,svchost.exe,IPv4,UDP,,127.0.0.1,50229,,0,2025-09-12T19:22:18Z
736,svchost.exe,IPv4,UDP,,127.0.0.1,59590,,0,2025-09-12T19:21:57Z
3684,svchost.exe,IPv6,UDP,,::1,1900,,0,2025-09-12T19:22:18Z
3684,svchost.exe,IPv6,UDP,,fe80::54b1:c6f5:b8f6:8ffc,1900,,0,2025-09-12T19:22:18Z
1424,svchost.exe,IPv6,UDP,,::,5353,,0,2025-09-12T19:21:54Z
1424,svchost.exe,IPv6,UDP,,::,5355,,0,2025-09-12T21:21:52Z
3684,svchost.exe,IPv6,UDP,,fe80::54b1:c6f5:b8f6:8ffc,50226,,0,2025-09-12T19:22:18Z
3684,svchost.exe,IPv6,UDP,,::1,50227,,0,2025-09-12T19:22:18Z
