_index,_id,_version,_score,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.dstuser,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.hipaa,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.nist_800_53,_source.rule.gpg13,_source.rule.gdpr,_source.decoder.parent,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.srcuser,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.data.uid,_source.data.srcip,_source.data.euid,_source.data.tty,_source.data.srcport,_source.data.pwd,_source.data.command,_source.decoder.ftscomment,_source.data.extra_data,_source.data.audit.uid,_source.data.audit.res,_source.data.audit.auid,_source.data.audit.session,_source.data.audit.pid,_source.data.audit.id,_source.data.audit.type,_source.data.audit.key,_source.data.event_type,_source.data.audit.gid,_source.data.audit.dev,_source.data.audit.prom,_source.data.audit.old_prom,_source.data.tx_guessed,_source.data.tx_id,_source.data.app_proto,_source.data.in_iface,_source.data.src_ip,_source.data.src_port,_source.data.alert.severity,_source.data.alert.signature_id,_source.data.alert.rev,_source.data.alert.metadata.updated_at,_source.data.alert.metadata.confidence,_source.data.alert.metadata.created_at,_source.data.alert.metadata.signature_severity,_source.data.alert.gid,_source.data.alert.signature,_source.data.alert.action,_source.data.alert.category,_source.data.flow_id,_source.data.dest_ip,_source.data.proto,_source.data.http.hostname,_source.data.http.protocol,_source.data.http.http_method,_source.data.http.http_content_type,_source.data.http.length,_source.data.http.url,_source.data.http.http_user_agent,_source.data.http.status,_source.data.files,_source.data.dest_port,_source.data.pkt_src,_source.data.flow.src_ip,_source.data.flow.src_port,_source.data.flow.pkts_toserver,_source.data.flow.dest_ip,_source.data.flow.start,_source.data.flow.bytes_toclient,_source.data.flow.bytes_toserver,_source.data.flow.pkts_toclient,_source.data.flow.dest_port,_source.data.timestamp,_source.data.direction,_source.data.audit.syscall,_source.data.audit.fsgid,_source.data.audit.suid,_source.data.audit.egid,_source.data.audit.exe,_source.data.audit.file.inode,_source.data.audit.file.mode,_source.data.audit.file.name,_source.data.audit.sgid,_source.data.audit.execve.a1,_source.data.audit.execve.a0,_source.data.audit.euid,_source.data.audit.command,_source.data.audit.ppid,_source.data.audit.fsuid,_source.data.audit.exit,_source.data.audit.cwd,_source.data.audit.success,_source.data.audit.tty,_source.data.audit.arch,_source.rule.frequency,_source.previous_output,_source.data.audit.list,_source.data.id
wazuh-alerts-4.x-2025.09.03,c6QFD5kBsWI4Vn23kOGt,1,1,sshd-session,2025-09-03T10:00:37.205086+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,kali,1,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session closed.,"[""pam"",""syslog""]",5502,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,pam,2025-09-03T10:00:37.205086+00:00 cyberpi sshd-session[1696]: pam_unix(sshd:session): session closed for user kali,log,"Sep 3, 2025 @ 15:30:38.425",/var/log/auth.log,1756893638.1206560,"Sep 3, 2025 @ 15:30:38.425", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,ZaT1DpkBsWI4Vn23yeGG,1,1,unix_chkpwd,2025-09-03T09:43:31.395157+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7, ,3,false,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",unix_chkpwd: Password check failed.,"[""pam"",""syslog"",""authentication_failed""]",5557,"[""AU.14"",""AC.7""]","[""4.3""]","[""IV_35.7.d"",""IV_32.2""]", ,unix_chkpwd,2025-09-03T09:43:31.395157+00:00 cyberpi unix_chkpwd[1872]: password check failed for user (kali),log,"Sep 3, 2025 @ 15:13:31.430",/var/log/auth.log,1756892611.1204717,"Sep 3, 2025 @ 15:13:31.430",kali,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,YaT1DpkBsWI4Vn23suEr,1,1,sshd-session,2025-09-03T09:43:16.661144+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,kali,1,false,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]",5503,"[""AU.14"",""AC.7""]","[""7.8""]","[""IV_35.7.d"",""IV_32.2""]", ,pam,2025-09-03T09:43:16.661144+00:00 cyberpi sshd-session[1868]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.35  user=kali,log,"Sep 3, 2025 @ 15:13:17.372",/var/log/auth.log,1756892597.1202714,"Sep 3, 2025 @ 15:13:17.372", ,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",0,192.168.1.35,0,ssh, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,YqT1DpkBsWI4Vn23suEr,1,1,sshd-session,2025-09-03T09:43:18.504637+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,kali,1,false,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]",5760,"[""AU.14"",""AC.7""]","[""7.1""]","[""IV_35.7.d"",""IV_32.2""]",sshd,sshd,2025-09-03T09:43:18.504637+00:00 cyberpi sshd-session[1868]: Failed password for kali from 192.168.1.35 port 61501 ssh2,log,"Sep 3, 2025 @ 15:13:19.301",/var/log/auth.log,1756892599.1203272,"Sep 3, 2025 @ 15:13:19.301", ,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]", ,192.168.1.35, , ,61501, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,ZKT1DpkBsWI4Vn23veHd,1,1,sshd-session,2025-09-03T09:43:27.025124+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,kali,2,false,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]",5760,"[""AU.14"",""AC.7""]","[""7.1""]","[""IV_35.7.d"",""IV_32.2""]",sshd,sshd,2025-09-03T09:43:27.025124+00:00 cyberpi sshd-session[1868]: Failed password for kali from 192.168.1.35 port 61501 ssh2,log,"Sep 3, 2025 @ 15:13:27.389",/var/log/auth.log,1756892607.1204214,"Sep 3, 2025 @ 15:13:27.389", ,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]", ,192.168.1.35, , ,61501, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,UaTjDpkBsWI4Vn231-Gq,1,1,sshd-session,2025-09-03T09:23:47.022660+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,kali,1,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication success.,"[""syslog"",""sshd"",""authentication_success""]",5715,"[""AU.14"",""AC.7""]","[""7.1"",""7.2""]","[""IV_32.2""]",sshd,sshd,2025-09-03T09:23:47.022660+00:00 cyberpi sshd-session[1696]: Accepted password for kali from 192.168.1.35 port 20167 ssh2,log,"Sep 3, 2025 @ 14:53:48.364",/var/log/auth.log,1756891428.1199626,"Sep 3, 2025 @ 14:53:48.364", ,"[""Valid Accounts"",""Remote Services""]","[""T1078"",""T1021""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access"",""Lateral Movement""]", ,192.168.1.35, , ,20167, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,UqTjDpkBsWI4Vn231-Gq,1,1,(systemd),2025-09-03T09:23:47.293827+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,kali(uid=1000),9,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]",5501,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,pam,2025-09-03T09:23:47.293827+00:00 cyberpi (systemd): pam_unix(systemd-user:session): session opened for user kali(uid=1000) by kali(uid=0),log,"Sep 3, 2025 @ 14:53:48.375",/var/log/auth.log,1756891428.1200103,"Sep 3, 2025 @ 14:53:48.375",kali,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,U6TjDpkBsWI4Vn231-Gq,1,1,sshd-session,2025-09-03T09:23:47.032991+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,kali(uid=1000),10,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]",5501,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,pam,2025-09-03T09:23:47.032991+00:00 cyberpi sshd-session[1696]: pam_unix(sshd:session): session opened for user kali(uid=1000) by kali(uid=0),log,"Sep 3, 2025 @ 14:53:48.375",/var/log/auth.log,1756891428.1200572,"Sep 3, 2025 @ 14:53:48.375",kali,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,IjH_DJkB7S3OmCd_dZbP,1,1,(systemd),2025-09-03T00:30:53.489050+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,lightdm(uid=125),4,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]",5501,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,pam,2025-09-03T00:30:53.489050+00:00 cyberpi (systemd): pam_unix(systemd-user:session): session opened for user lightdm(uid=125) by lightdm(uid=0),log,"Sep 3, 2025 @ 06:04:49.529",/var/log/auth.log,1756859689.1189116,"Sep 3, 2025 @ 06:04:49.529",lightdm,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2025.09.03,IzH_DJkB7S3OmCd_dZbP,1,1,lightdm,2025-09-03T00:30:54.081412+00:00,192.168.1.41,cyberpi,001,LAPTOP-K8OGF4C7,lightdm(uid=125),5,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]",5501,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,pam,2025-09-03T00:30:54.081412+00:00 cyberpi lightdm: pam_unix(lightdm-greeter:session): session opened for user lightdm(uid=125) by (uid=0),log,"Sep 3, 2025 @ 06:04:49.530",/var/log/auth.log,1756859689.1189592,"Sep 3, 2025 @ 06:04:49.530", ,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]",0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
